"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(a) de tradução.",Sim,Sim,APTRAD - Associação Portuguesa de Tradutores,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega",português,inglês,Sim,Sempre ou quase sempre,Aceito porque gosto de fazer a tradução para o inglês.,todos,Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês mas não conhece (bem) o português., é brasileira que tem experiência na tradução para o inglês.","Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, SDL Trados","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",masculino,26 a 35 anos,parda,Alemanha
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ATP-Rio",Sim,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Grupo do Facebook ou similar",português,Inglês e Francês,Sim,Aproximadamente metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, acadêmicos - humanas e artes",Raramente ou nunca,,Discordo parcialmente.,Concordo plenamente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,Não.,,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Plataforma online (sem ser especializada em tradução)",português,Libras,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Sim,"Sintra, ABRATES, ATPIESP",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Discordo totalmente.,Concordo plenamente.,"Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,,Mestrado,"Sim, fiz bacharelado em tradução., Sim, fiz mestrado em tradução ou letras com ênfase em tradução.",Não,Sim,"Sintra, ABRATES, IAPTI",Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega",português,inglês,Sim,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","corporativos / business, jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes",Raramente ou nunca,,Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico)., Sim, se o curso fosse ministrado por uma pessoa nativa ou com conhecimento nativo de inglês","Vários, depende da solicitação do cliente (SDL Trados, memoQ, Smartling, Memsource, etc.)",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 10 a 15 anos,Não,Ensino de tradução e/ou interpretação,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"Sintra, APIC",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior, Colega",português,inglês,Sim,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","corporativos / business, setor cultural",Mais da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português.",Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast",Não.,,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,Locação de imóveis,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,"Sintra, Assoc dos Tradutores Públicos do RJ",Não,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",português,inglês,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concorda plenamente.,Concordo plenamente.,Não tenho interesse em fazer curso de versão.,"Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL., MyMemory","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira.",masculino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Interpretação,Mestrado,Não fiz.,Não,Não,Sintra,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Grupo do Facebook ou similar, Colega",português,inglês,Sim,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - humanas e artes",Raramente ou nunca,,Concordo parcialmente,Discordo parcialmente.,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,masculino,46 a 55 anos,parda,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES, APIC, AIIC e ATP-RIO",Sim,,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a, Intérprete de Conferência","Cliente direto, Colega",português,inglês,Sim,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, Wordfast","Raramente, Google Tradutor",Uso quando estou com pouco tempo.,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Sim,"Revisão e/ou copydesque, Controle de qualidade, serviços linguísticos em geral (MTPE, edição, criação de texto, etc.)",Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Graduação em Letras - Inglês e Comunicação Social - Jornalismo.",Sim,Não,Sintra,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Agência de tradução do exterior,português,inglês,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Vários. MemoQ e ferramentas online (XTM, Memsource, Crowdin, etc)","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso para certos tipos de texto., uso para uma tradução inicial, que passa por revisão minha e de terceiros depois.",feminino,36 a 45 anos,branca,Brasil
